#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.7137     2.48     3.90     3.9999     6.4931
2011.7164     1.77     2.58     3.5828     5.9571
2011.7192     4.01     -8.90     3.7128     6.0513
2011.7219     2.61     -1.14     3.3397     5.3863
2011.7247     2.67     2.46     3.5348     5.4876
2011.7274     1.49     4.30     3.3566     5.5591
2011.7301     1.97     1.99     3.1983     5.1887
2011.7329     2.68     2.16     2.9856     4.8526
2011.7356     2.69     6.80     3.0439     4.7750
2011.7384     1.41     4.82     3.1099     4.9354
2011.7411     -0.67     1.83     3.4508     5.7519
2011.7438     -0.59     2.84     3.8347     6.0503
2011.7466     1.75     6.95     3.5772     5.8074
2011.7493     1.56     7.76     3.1170     5.0063
2011.7521     0.35     4.25     2.8800     4.4653
2011.7548     0.71     3.69     2.8274     4.5410
2011.7575     1.10     4.26     2.7481     4.3616
2011.7603     1.51     4.76     2.9766     4.8193
2011.7630     1.30     6.09     3.1870     5.1063
2011.7658     0.56     2.78     2.8915     4.5538
2011.7685     1.61     1.13     3.3785     5.3776
2011.7712     -0.05     2.79     3.5279     5.4075
2011.7740     0.56     2.90     3.6032     5.5882
2011.7795     1.08     8.92     3.4758     5.5621
2011.7822     2.76     3.07     4.7116     7.4579
2011.7849     1.35     3.72     3.1778     5.0137
2011.7877     -0.09     5.32     3.3050     5.0350
2011.7904     1.03     1.72     2.7393     4.2763
2011.7932     1.10     2.75     3.1001     4.8330
2011.7959     0.32     2.56     3.0459     4.9151
2011.7986     0.40     3.13     2.7425     4.2822
2011.8014     1.20     3.75     2.8884     4.5500
2011.8041     2.09     3.60     3.1961     5.1980
2011.8068     -0.39     0.51     3.3388     5.3019
2011.8096     0.72     5.80     3.3951     5.3069
2011.8123     5.79     0.63     4.1958     6.3219
2011.8151     0.45     6.98     3.4514     5.3078
2011.8178     -0.04     3.95     3.6881     5.8521
2011.8205     2.99     7.38     3.8216     5.8172
2011.8233     0.42     1.32     3.3217     5.2092
2011.8260     0.50     3.58     3.3314     5.3036
2011.8288     1.29     2.55     2.9859     4.9093
2011.8315     5.56     4.84     4.2867     7.2863
2011.8342     1.82     3.89     3.6934     5.8565
2011.8370     -0.63     6.62     3.5221     5.4015
2011.8397     1.33     4.70     3.5632     5.7670
2011.8425     -0.90     1.48     2.9596     4.6477
2011.8452     -0.85     1.74     3.0998     4.8344
2011.8479     -1.16     7.66     3.5219     5.4006
2011.8507     -1.06     11.52     3.4593     5.3926
2011.8534     1.03     0.21     3.1811     5.0207
2011.8562     0.44     4.31     2.7310     4.1917
2011.8589     1.08     5.18     2.9516     4.5648
2011.8616     0.65     1.88     2.6449     3.9217
2011.8644     -0.57     0.94     2.9594     4.6445
2011.8671     0.60     3.84     2.7395     4.2764
2011.8699     1.24     2.16     2.8923     4.5573
2011.8726     0.66     2.03     2.8922     4.5615
2011.8753     -2.55     3.15     3.1140     4.9221
2011.8781     -0.74     2.67     3.1615     4.8407
2011.8808     2.35     3.37     3.4792     5.5653
2011.8836     -0.57     5.44     2.7563     4.4497
2011.8863     -0.87     1.23     2.8105     4.3708
2011.8890     -0.45     0.85     2.8101     4.2966
